id,role_id/id,user_id/id
role_line_group_Cashier,foodcoop_data_role.res_users_role_Cashier,foodcoop_data_role_demo.demo_user_Cashier
role_line_group_Member_Manager,foodcoop_data_role.res_users_role_Member_Manager,foodcoop_data_role_demo.demo_user_Member_Manager
role_line_group_Accountant,foodcoop_data_role.res_users_role_Accountant,foodcoop_data_role_demo.demo_user_Accountant
role_line_group_Inventory_Manager,foodcoop_data_role.res_users_role_Inventory_Manager,foodcoop_data_role_demo.demo_user_Inventory_Manager
role_line_group_Teamleader,foodcoop_data_role.res_users_role_Teamleader,foodcoop_data_role_demo.demo_user_Teamleader
role_line_group_Purchaser,foodcoop_data_role.res_users_role_Purchaser,foodcoop_data_role_demo.demo_user_Purchaser
role_line_group_Purchase_Manager,foodcoop_data_role.res_users_role_Purchase_Manager,foodcoop_data_role_demo.demo_user_Purchase_Manager
role_line_group_Foodcoop_Admin,foodcoop_data_role.res_users_role_Foodcoop_Admin,foodcoop_data_role_demo.demo_user_Foodcoop_Admin
role_line_group_BDMLecture,foodcoop_data_role.res_users_role_BDMLecture,foodcoop_data_role_demo.demo_user_BDMLecture
role_line_group_BDMPresence,foodcoop_data_role.res_users_role_BDMPresence,foodcoop_data_role_demo.demo_user_BDMPresence
role_line_group_BDMSaisie,foodcoop_data_role.res_users_role_BDMSaisie,foodcoop_data_role_demo.demo_user_BDMSaisie
role_line_group_Subscription,foodcoop_data_role.res_users_role_Subscription,foodcoop_data_role_demo.demo_user_Subscription
role_line_group_Communications_Officer,foodcoop_data_role.res_users_role_Communications_Officer,foodcoop_data_role_demo.demo_user_Communications_Officer
role_line_group_Communications_Manager,foodcoop_data_role.res_users_role_Communications_Manager,foodcoop_data_role_demo.demo_user_Communications_Manager
role_line_group_Welcome_Meeting_Team,foodcoop_data_role.res_users_role_Welcome_Meeting_Team,foodcoop_data_role_demo.demo_user_Welcome_Meeting_Team
role_line_group_Member_Accountant,foodcoop_data_role.res_users_role_Member_Accountant,foodcoop_data_role_demo.demo_user_Member_Accountant
role_line_group_POS_Manager,foodcoop_data_role.res_users_role_POS_Manager,foodcoop_data_role_demo.demo_user_POS_Manager
role_line_group_BadgeReader,foodcoop_data_role.res_users_role_BadgeReader,foodcoop_data_role_demo.demo_user_BadgeReader
role_line_group_Member,foodcoop_data_role_memberspace.res_users_role_Member,foodcoop_data_role_demo.demo_user_Member
